"","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012"
"2",0,17,0,0,0,0,51,0,0,277,121,0,0,0,0,175,75,171,0,0,0
"5",0,80,0,0,0,0,159,160,0,0,0,0,0,0,0,0,83,0,204,0,0
"14",0,0,0,0,0,0,1723,0,0,0,0,7676,0,4037,0,0,4906,10300,0,4948,0
"15",0,760,0,0,0,0,0,0,0,0,0,0,0,2079,0,0,3998,0,0,1718,0
"16",0,1600,0,0,0,0,0,0,0,0,0,5530,0,1520,0,0,3090,0,0,3348,0
"17",0,0,0,0,0,0,0,0,0,0,374,406,0,0,0,0,630,41,0,570,0
"23",100,110,0,0,0,0,0,815,0,0,0,2100,0,0,0,0,620,0,0,0,0
"46",0,6,0,0,0,0,0,21,0,0,0,0,0,0,0,0,2,0,0,0,0
"53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120,0,0,0
"56",0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"61",0,49,0,0,0,0,0,0,0,0,0,75,0,0,0,0,18,0,0,0,0
"71",0,16,0,0,0,0,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0
"72",30,20,0,0,0,0,0,309,0,0,0,300,0,0,0,0,180,0,0,0,0
"106",0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116",0,30,53,0,0,0,0,281,0,55,271,106,0,0,0,55,110,68,0,0,0
"133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"184",0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"208",0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,13,0,0,0,0,0
"227",0,0,0,0,0,0,2,0,0,0,16,0,0,0,0,10,12,0,0,0,0
"228",0,0,0,0,0,0,6,0,0,10,125,0,0,0,0,0,0,0,0,0,0
"230",0,219,0,0,0,0,8,0,0,140,230,0,0,0,0,238,347,0,0,0,0
"244",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33,0,0,0,0
"280",0,110,0,0,0,0,0,840,0,0,0,0,0,0,0,0,0,0,0,0,0
"286",0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"371",0,472,0,0,229,318,0,489,0,0,501,0,250,0,0,154,194,91,0,0,165
"372",83,142,0,0,225,253,0,273,0,0,152,0,58,0,0,60,63,127,0,0,306
"374",270,165,0,0,128,302,0,215,0,176,202,0,344,0,0,79,219,58,0,0,153
"390",0,0,0,12,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,190
"392",0,0,0,106,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,62
"403",83,45,0,0,0,0,154,0,0,0,0,257,82,0,0,124,166,211,146,0,0
"404",275,365,0,0,0,0,217,159,0,108,0,0,144,0,0,146,0,0,0,0,0
"405",0,0,0,0,0,0,35,22,0,0,94,62,0,0,171,97,184,216,251,0,0
"406",627,308,0,0,0,0,402,388,0,0,0,647,565,0,0,493,405,476,518,0,0
"407",1,0,0,0,0,0,31,3,0,0,24,0,21,31,0,89,120,85,74,0,0
"409",294,304,0,0,0,0,0,0,0,0,0,0,296,0,0,375,268,351,227,224,0
"457",1062,377,0,0,365,0,0,280,0,1055,616,980,0,0,0,303,1116,362,0,0,0
"464",0,0,0,0,600,330,0,403,0,668,591,599,0,0,0,223,232,485,0,0,0
"465",0,261,0,0,300,500,0,307,0,475,264,443,0,0,0,74,289,215,0,0,0
"486",2850,2380,2950,0,1800,4020,2195,0,0,237,0,0,492,0,0,200,1450,1200,0,0,0
"488",0,0,20,30,0,0,20,0,0,21,0,0,18,0,0,0,0,30,0,0,0
"490",160,75,50,70,30,0,72,0,0,18,0,0,45,0,0,39,38,78,0,0,0
"510",0,0,102,2,37,0,0,38,0,0,0,20,0,0,9,0,0,2,0,0,0
"512",16,20,11,0,56,29,19,9,0,11,0,0,0,0,0,0,11,0,0,0,0
"514",0,0,0,0,4,0,8,56,0,0,0,0,0,0,0,0,0,26,0,0,0
"520",33,25,55,152,43,0,100,153,0,71,0,0,0,0,19,0,0,0,0,0,0
"523",0,0,0,0,0,0,0,12,0,0,0,0,38,4,8,0,0,0,0,0,0
"527",0,0,0,0,5,0,0,52,0,0,0,25,0,0,0,0,0,0,0,0,0
"541",26,2,0,0,18,116,0,81,0,112,93,268,136,0,0,0,0,132,140,0,0
"543",17,111,0,0,61,142,57,60,0,35,23,65,43,0,0,44,0,38,23,0,0
"547",72,42,0,0,137,81,60,102,0,142,157,475,150,0,0,417,0,687,277,0,0
"768",0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0
"770",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
"775",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,0
"776",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"781",0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,235,0,0
