"","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"2",NA,NA,NA,0,NA,NA,NA,NA,0,NA,6,0,0,0,0,NA,0,0,NA,0,8,0,0,0,64,6,27,0
"3",NA,100,0,180,111,NA,50,102,90,76,185,190,136,280,350,60,100,128,110,45,75,89,54,75,55,103,209,302
"4",NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,32
"5",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4
"6",NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,0,9,2
"7",2,0,NA,0,210,NA,NA,NA,NA,0,800,0,NA,0,0,0,3000,1000,1500,1750,30,400,1032,600,248,2113,2552,2600
"8",0,0,0,0,0,0,0,89,7,NA,5,8,5,0,0,4,0,30,0,0,0,0,0,0,0,0,0,0
"9",4,500,0,NA,NA,23,NA,NA,NA,NA,NA,175,210,138,263,320,412,8,2515,1286,3500,143,110,0,93,120,0,41
"10",0,0,0,NA,NA,NA,NA,NA,0,NA,NA,67,NA,53,46,22,10,12,14,2,0,0,0,0,0,0,0,4
"11",NA,NA,0,8,0,0,74,0,80,130,98,50,114,434,30,32,28,2,50,80,68,0,NA,0,0,0,0,0
"12",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,0,NA,NA,81,18,NA,NA,7,8
"13",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,48,80,124,155,26,104,3,15,14
"14",NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,NA,306,288,133,18,180,116,224,99,54
"15",NA,0,60,82,NA,NA,NA,0,NA,90,100,NA,NA,NA,10,1000,530,350,300,0,40,320,18,14,80,50,1210,6
"16",NA,NA,0,0,NA,NA,NA,NA,0,28,0,NA,NA,NA,26,0,25,37,48,0,0,0,0,0,23,0,0,67
"17",NA,0,NA,0,NA,5,NA,130,12,NA,72,10,11,7,5,36,0,0,0,0,0,4,0,15,0,0,0,NA
"18",NA,0,0,0,NA,NA,NA,150,NA,0,0,30,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,0,0,0
"19",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,12,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,0,0,0,4,0,0,0,0,0
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,59,0,9,51
"22",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"23",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,8,0,10,0,0
"24",NA,0,0,0,0,NA,NA,50,NA,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,0,0,0,0
"25",NA,NA,NA,0,6,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,4,17,0
"27",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,8,0,0,0,64,2,0,4,0
"28",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,32,NA,NA,NA,NA,NA,930,2830,2552,2516,800,5600,890,236,37,28,66,155
"29",10,44,NA,0,220,NA,NA,NA,100,394,150,280,NA,60,400,5,0,24,650,80,40,137,0,200,93,40,140,250
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,800,0,116,77
"31",NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,11,0,0,0,NA,0,0,0
"32",NA,0,100,0,NA,NA,NA,NA,NA,2436,0,0,NA,0,NA,250,60,NA,NA,NA,300,NA,NA,NA,0,0,0,0
"33",NA,NA,0,NA,NA,NA,NA,50,50,26,500,50,0,NA,0,0,NA,10,0,NA,7,13,29,7,14,12,8,10
"34",NA,NA,NA,NA,NA,NA,NA,473,350,63,500,NA,260,220,131,367,500,251,0,NA,60,103,0,40,1,0,0,12
